,Application,Actual Extension
414,RdpSaProxy,RdpSaProxy.exe
415,RdpSaUacHelper,RdpSaUacHelper.exe
416,rdpshell,rdpshell.exe
417,rdpsign,rdpsign.exe
418,rdrleakdiag,rdrleakdiag.exe
419,RDVGHelper,RDVGHelper.exe
420,ReAgentc,ReAgentc.exe
421,recdisc,recdisc.exe
422,recover,recover.exe
423,RecoveryDrive,RecoveryDrive.exe
424,refsutil,refsutil.exe
425,reg,reg.exe
426,regedt32,regedt32.exe
427,regini,regini.exe
428,Register-CimProvider,Register-CimProvider.exe
429,regsvr32,regsvr32.exe
430,rekeywiz,rekeywiz.exe
431,relog,relog.exe
432,RelPost,RelPost.exe
433,RemoteAppLifetimeManager,RemoteAppLifetimeManager.exe
434,RemotePosWorker,RemotePosWorker.exe
435,repair-bde,repair-bde.exe
436,replace,replace.exe
437,reset,reset.exe
438,ResetEngine,ResetEngine.exe
439,resmon,resmon.exe
440,RMActivate,RMActivate.exe
441,RMActivate_isv,RMActivate_isv.exe
442,RMActivate_ssp,RMActivate_ssp.exe
443,RMActivate_ssp_isv,RMActivate_ssp_isv.exe
444,RmClient,RmClient.exe
445,rmttpmvscmgrsvr,rmttpmvscmgrsvr.exe
446,Robocopy,Robocopy.exe
447,ROUTE,ROUTE.EXE
448,RpcPing,RpcPing.exe
449,rrinstaller,rrinstaller.exe
450,rstrui,rstrui.exe
451,RtkAudUService64,RtkAudUService64.exe
452,runas,runas.exe
453,rundll32,rundll32.exe
454,runexehelper,runexehelper.exe
455,RunLegacyCPLElevated,RunLegacyCPLElevated.exe
456,runonce,runonce.exe
457,RuntimeBroker,RuntimeBroker.exe
458,rwinsta,rwinsta.exe
459,sc,sc.exe
460,schtasks,schtasks.exe
461,ScriptRunner,ScriptRunner.exe
462,sdbinst,sdbinst.exe
463,sdchange,sdchange.exe
464,sdclt,sdclt.exe
465,sdiagnhost,sdiagnhost.exe
466,SearchFilterHost,SearchFilterHost.exe
467,SearchIndexer,SearchIndexer.exe
468,SearchProtocolHost,SearchProtocolHost.exe
469,SecEdit,SecEdit.exe
470,secinit,secinit.exe
